"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1418","Successful Login Test","firefox","2026-04-19","passed","2026-04-19","Login Tests","auth/login.spec.ts","",""
"","1914","Successful Login Test","webkit","2026-04-19","passed","2026-04-19","Login Tests","auth/login.spec.ts","",""
"","359","Successful Login Test","chromium","2026-04-19","passed","2026-04-19","Login Tests","auth/login.spec.ts","",""
